Latitude,Longitude,Site,Status
45.82087222,71.26870833,Solbec,Closed
48.47663333,78.91451667,Yvan V�zina,Closed
48.07722778,77.57557778,Dunraine,Closed
48.28145,78.56851667,Mouska,Closed
48.26614722,78.54778611,Doyon,Closed
14.79023611,17.24300278,Boto,Exploration
47.67407778,81.79919444,C�t� Gold ,Development
14.37556389,0.079280556,Essakane,Operations
5.077191667,55.15584167,Rosebel,Operations
48.257975,78.50706111,Westwood,Operations
43.65168056,79.38084722,Toronto,Office
45.52613056,73.52005833,Longueuil,Office
48.09862222,77.79661944,Val d'Or,Office
42.38345278,71.41619722,Sudbury,Office
